1,Akuntansi/Keuangan
2,Adminstrasi/Personalia
3,Seni/Media/Komunikasi
4,Bangunan/Konstruksi
5,Komputer/IT
6,Pendidikan/Pelatihan
7,Teknik
8,Kesehatan
9,Hotel/Restoran
10,Manufaktur
11,Penjualan/Marketing
12,Ilmu Pengetahuan
13,Pelayanan
14,Lainnya
